case,n_periods,n_scenarios,first_stage_mode,n_first_stage,solve_mode,aos_method,rel_gap,num_solutions_cap,time_limit_s,base_time_s,aos_time_s,total_time_s,n_candidates,n_true,obj_value,master_lb_or_eta,n_cuts,n_iterations,status,error_msg,solutions_summary
tiny_uc_T4_S3,4,3,UnitOn/Baseline,8,extensive,baseline,0.0,1,120.0,0.3824557090010785,0.0,0.3824557090010785,1,1,6005.3462500000005,6005.3462500000005,0,1,optimal,,obj=6005.3462500000005
tiny_uc_T4_S3,4,3,UnitOn,8,extensive,gurobi_pool,0.0,50,120.0,0.09577812499992433,0.05759187500007101,0.15336999999999534,1,1,6005.3462500000005,6005.3462500000005,0,1,optimal,,obj=6005.35;UnitOn=111101101111011011110110
tiny_uc_T4_S3,4,3,UnitOn,8,benders,gurobi_pool,0.0,50,120.0,0.3221486670008744,0.032177207998756785,0.3543258749996312,1,1,6005.346249993146,6005.346249993146,nan,11,optimal,,obj=6005.35;UnitOn=11110110
tiny_uc_T4_S3,4,3,UnitOn,8,extensive,gurobi_pool,0.01,50,120.0,0.09577812499992433,0.04251358300098218,0.1382917080009065,1,1,6005.3462500000005,6005.3462500000005,0,1,optimal,,obj=6005.35;UnitOn=111101101111011011110110
tiny_uc_T4_S3,4,3,UnitOn,8,benders,gurobi_pool,0.01,50,120.0,0.3221486670008744,0.03659795799831045,0.35874662499918486,1,1,6005.346249993146,6005.346249993146,nan,11,optimal,,obj=6005.35;UnitOn=11110110
tiny_uc_T4_S3,4,3,UnitOn,8,extensive,gurobi_pool,0.05,50,120.0,0.09577812499992433,0.10674883300089277,0.2025269580008171,4,4,6005.3462500000005,6005.3462500000005,0,1,optimal,,obj=6005.35;UnitOn=111101101111011011110110 || obj=6103.99;UnitOn=111101111111011111110111 || obj=6104.15;UnitOn=111111101111111011111110 || obj=6202.79;UnitOn=111111111111111111111111
tiny_uc_T4_S3,4,3,UnitOn,8,benders,gurobi_pool,0.05,50,120.0,0.3221486670008744,0.08121625000057975,0.40336491700145416,4,4,6005.346249993146,6005.346249993146,nan,11,optimal,,obj=6005.35;UnitOn=11110110 || obj=6103.99;UnitOn=11110111 || obj=6104.15;UnitOn=11111110 || obj=6202.79;UnitOn=11111111
