case,n_periods,first_stage_mode,solve_mode,aos_method,rel_gap,num_solutions_cap,time_limit_s,base_time_s,aos_time_s,total_time_s,n_candidates,n_true,obj_value,master_lb_or_eta,n_cuts,n_iterations,n_first_stage,status,error_msg,solutions_summary
egret:2020-02-09_T4,4,UnitOn,extensive,baseline,0.0,50,180.0,0.17472095898119733,0.0,0.17472095898119733,1,1,234221.98530391738,234221.98530391738,nan,nan,292,optimal,,baseline (from AOS pool)
egret:2020-02-09_T4,4,UnitOn,extensive,gurobi_pool,0.0,50,180.0,0.17472095898119733,0.6701936250028666,0.8449145839840639,1,1,234221.98530391738,234221.98530391738,nan,nan,292,optimal,,"[0:obj=234221.98530391738 UnitOn=(0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)]"
egret:2020-02-09_T4,4,UnitOn,extensive,gurobi_pool,0.01,50,180.0,0.17472095898119733,3.374867291015107,3.5495882499963045,50,50,234221.98530391738,234221.98530391738,nan,nan,292,optimal,,[50 sols; omitted (threshold=8)]
egret:2020-02-09_T4,4,UnitOn,extensive,gurobi_pool,0.05,50,180.0,0.17472095898119733,3.531323874980444,3.7060448339616414,50,50,234221.98530391735,234221.98530391738,nan,nan,292,optimal,,[50 sols; omitted (threshold=8)]
