case,n_periods,first_stage_mode,solve_mode,aos_method,rel_gap,num_solutions_cap,time_limit_s,base_time_s,aos_time_s,total_time_s,n_candidates,n_true,obj_value,master_lb_or_eta,n_cuts,n_iterations,n_first_stage,status,error_msg,solutions_summary
egret:2020-04-03_T4,4,UnitOn,extensive,baseline,0.0,50,180.0,0.17907295800978318,0.0,0.17907295800978318,1,1,152928.59064734934,152928.59064734934,nan,nan,292,optimal,,baseline (from AOS pool)
egret:2020-04-03_T4,4,UnitOn,extensive,gurobi_pool,0.0,50,180.0,0.17907295800978318,0.7834157909965143,0.9624887490062974,1,1,152928.59064734934,152928.59064734934,nan,nan,292,optimal,,"[0:obj=152928.59064734934 UnitOn=(0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)]"
egret:2020-04-03_T4,4,UnitOn,extensive,gurobi_pool,0.01,50,180.0,0.17907295800978318,3.2886697500071023,3.4677427080168854,50,50,152928.5906473493,152928.59064734934,nan,nan,292,optimal,,[50 sols; omitted (threshold=8)]
egret:2020-04-03_T4,4,UnitOn,extensive,gurobi_pool,0.05,50,180.0,0.17907295800978318,3.4125851669814438,3.591658124991227,50,50,152928.59064734934,152928.59064734934,nan,nan,292,optimal,,[50 sols; omitted (threshold=8)]
